COUNTY,MUNICIPALITY,CLASS
Adams,Abbottstown Borough,Borough
Adams,Arendtsville Borough,Borough
Adams,Bendersville Borough,Borough
Adams,Berwick Township,2nd Township
Adams,Biglerville Borough,Borough
Adams,Bonneauville Borough,Borough
Adams,Butler Township,2nd Township
Adams,Carroll Valley Borough,Borough
Adams,Conewago Township,2nd Township
Adams,Cumberland Township,2nd Township
Adams,East Berlin Borough,Borough
Adams,Fairfield Borough,Borough
Adams,Franklin Township,2nd Township
Adams,Freedom Township,2nd Township
Adams,Germany Township,2nd Township
Adams,Gettysburg Borough,Borough
Adams,Hamilton Township,2nd Township
Adams,Hamiltonban Township,2nd Township
Adams,Highland Township,2nd Township
Adams,Huntington Township,2nd Township
Adams,Latimore Township,2nd Township
Adams,Liberty Township,2nd Township
Adams,Littlestown Borough,Borough
Adams,Mcsherrystown Borough,Borough
Adams,Menallen Township,2nd Township
Adams,Mt Joy Township,2nd Township
Adams,Mt Pleasant Township,2nd Township
Adams,New Oxford Borough,Borough
Adams,Oxford Township,2nd Township
Adams,Reading Township,2nd Township
Adams,Straban Township,2nd Township
Adams,Tyrone Township,2nd Township
Adams,Union Township,2nd Township
Adams,York Springs Borough,Borough
