COUNTY,MUNICIPALITY,CLASS
Allegheny,Aleppo Township,1st Township
Allegheny,Aspinwall Borough,Borough
Allegheny,Avalon Borough,Borough
Allegheny,Baldwin Borough,Borough
Allegheny,Baldwin Township,1st Township
Allegheny,Bell Acres Borough,Borough
Allegheny,Bellevue Borough,Borough
Allegheny,Ben Avon Borough,Borough
Allegheny,Ben Avon Heights Borough,Borough
Allegheny,Bethel Park Borough,Borough
Allegheny,Blawnox Borough,Borough
Allegheny,Brackenridge Borough,Borough
Allegheny,Braddock Borough,Borough
Allegheny,Braddock Hills Borough,Borough
Allegheny,Bradford Woods Borough,Borough
Allegheny,Brentwood Borough,Borough
Allegheny,Bridgeville Borough,Borough
Allegheny,Carnegie Borough,Borough
Allegheny,Castle Shannon Borough,Borough
Allegheny,Chalfant Borough,Borough
Allegheny,Cheswick Borough,Borough
Allegheny,Churchill Borough,Borough
Allegheny,Clairton City,3rd City
Allegheny,Collier Township,1st Township
Allegheny,Coraopolis Borough,Borough
Allegheny,Crafton Borough,Borough
Allegheny,Crescent Township,1st Township
Allegheny,Dormont Borough,Borough
Allegheny,Dravosburg Borough,Borough
Allegheny,Duquesne City,3rd City
Allegheny,East Deer Township,1st Township
Allegheny,East Mckeesport Borough,Borough
Allegheny,East Pittsburgh Borough,Borough
Allegheny,Edgewood Borough,Borough
Allegheny,Edgeworth Borough,Borough
Allegheny,Elizabeth Borough,Borough
Allegheny,Elizabeth Township,1st Township
Allegheny,Emsworth Borough,Borough
Allegheny,Etna Borough,Borough
Allegheny,Fawn Township,2nd Township
Allegheny,Findlay Township,2nd Township
Allegheny,Forest Hills Borough,Borough
Allegheny,Forward Township,2nd Township
Allegheny,Fox Chapel Borough,Borough
Allegheny,Franklin Park Borough,Borough
Allegheny,Frazer Township,2nd Township
Allegheny,Glassport Borough,Borough
Allegheny,Glen Osborne Borough,Borough
Allegheny,Glenfield Borough,Borough
Allegheny,Green Tree Borough,Borough
Allegheny,Hampton Township,2nd Township
Allegheny,Harmar Township,2nd Township
Allegheny,Harrison Township,1st Township
Allegheny,Haysville Borough,Borough
Allegheny,Heidelberg Borough,Borough
Allegheny,Homestead Borough,Borough
Allegheny,Indiana Township,2nd Township
Allegheny,Ingram Borough,Borough
Allegheny,Jefferson Hills Borough,Borough
Allegheny,Kennedy Township,1st Township
Allegheny,Kilbuck Township,2nd Township
Allegheny,Leet Township,1st Township
Allegheny,Leetsdale Borough,Borough
Allegheny,Liberty Borough,Borough
Allegheny,Lincoln Borough,Borough
Allegheny,Marshall Township,2nd Township
Allegheny,Mccandless Township,1st Township
Allegheny,Mckees Rocks Borough,Borough
Allegheny,Mckeesport City,3rd City
Allegheny,Millvale Borough,Borough
Allegheny,Monroeville Borough,Borough
Allegheny,Moon Township,2nd Township
Allegheny,Mount Oliver Borough,Borough
Allegheny,Mt Lebanon Township,1st Township
Allegheny,Munhall Borough,Borough
Allegheny,Neville Township,1st Township
Allegheny,North Braddock Borough,Borough
Allegheny,North Fayette Township,2nd Township
Allegheny,North Versailles Township,1st Township
Allegheny,Oakdale Borough,Borough
Allegheny,Oakmont Borough,Borough
Allegheny,Ohara Township,1st Township
Allegheny,Ohio Township,2nd Township
Allegheny,Penn Hills Township,1st Township
Allegheny,Pennsbury Village Borough,Borough
Allegheny,Pine Township,2nd Township
Allegheny,Pitcairn Borough,Borough
Allegheny,Pittsburgh City,2nd City
Allegheny,Pleasant Hills Borough,Borough
Allegheny,Plum Borough,Borough
Allegheny,Port Vue Borough,Borough
Allegheny,Rankin Borough,Borough
Allegheny,Reserve Township,1st Township
Allegheny,Richland Township,2nd Township
Allegheny,Robinson Township,1st Township
Allegheny,Ross Township,1st Township
Allegheny,Rosslyn Farms Borough,Borough
Allegheny,Scott Township,1st Township
Allegheny,Sewickley Borough,Borough
Allegheny,Sewickley Heights Borough,Borough
Allegheny,Sewickley Hills Borough,Borough
Allegheny,Shaler Township,1st Township
Allegheny,Sharpsburg Borough,Borough
Allegheny,South Fayette Township,1st Township
Allegheny,South Park Township,2nd Township
Allegheny,South Versailles Township,1st Township
Allegheny,Springdale Borough,Borough
Allegheny,Springdale Township,1st Township
Allegheny,Stowe Township,1st Township
Allegheny,Swissvale Borough,Borough
Allegheny,Tarentum Borough,Borough
Allegheny,Thornburg Borough,Borough
Allegheny,Turtle Creek Borough,Borough
Allegheny,Upper St Clair Township,1st Township
Allegheny,Verona Borough,Borough
Allegheny,Versailles Borough,Borough
Allegheny,Wall Borough,Borough
Allegheny,West Deer Township,2nd Township
Allegheny,West Elizabeth Borough,Borough
Allegheny,West Homestead Borough,Borough
Allegheny,West Mifflin Borough,Borough
Allegheny,West View Borough,Borough
Allegheny,Whitaker Borough,Borough
Allegheny,White Oak Borough,Borough
Allegheny,Whitehall Borough,Borough
Allegheny,Wilkins Township,1st Township
Allegheny,Wilkinsburg Borough,Borough
Allegheny,Wilmerding Borough,Borough
