COUNTY,MUNICIPALITY,CLASS
Armstrong,Apollo Borough,Borough
Armstrong,Applewold Borough,Borough
Armstrong,Atwood Borough,Borough
Armstrong,Bethel Township,2nd Township
Armstrong,Boggs Township,2nd Township
Armstrong,Bradys Bend Township,2nd Township
Armstrong,Burrell Township,2nd Township
Armstrong,Cadogan Township,2nd Township
Armstrong,Cowanshannock Township,2nd Township
Armstrong,Dayton Borough,Borough
Armstrong,East Franklin Township,2nd Township
Armstrong,Elderton Borough,Borough
Armstrong,Ford City Borough,Borough
Armstrong,Ford Cliff Borough,Borough
Armstrong,Freeport Borough,Borough
Armstrong,Gilpin Township,2nd Township
Armstrong,Hovey Township,2nd Township
Armstrong,Kiskiminetas Township,2nd Township
Armstrong,Kittanning Borough,Borough
Armstrong,Kittanning Township,2nd Township
Armstrong,Leechburg Borough,Borough
Armstrong,Madison Township,2nd Township
Armstrong,Mahoning Township,2nd Township
Armstrong,Manor Township,2nd Township
Armstrong,Manorville Borough,Borough
Armstrong,North Apollo Borough,Borough
Armstrong,North Buffalo Township,2nd Township
Armstrong,Parker City,3rd City
Armstrong,Parks Township,2nd Township
Armstrong,Perry Township,2nd Township
Armstrong,Pine Township,2nd Township
Armstrong,Plumcreek Township,2nd Township
Armstrong,Rayburn Township,2nd Township
Armstrong,Redbank Township,2nd Township
Armstrong,Rural Valley Borough,Borough
Armstrong,South Bend Township,2nd Township
Armstrong,South Bethlehem Borough,Borough
Armstrong,South Buffalo Township,2nd Township
Armstrong,Sugarcreek Township,2nd Township
Armstrong,Valley Township,2nd Township
Armstrong,Washington Township,2nd Township
Armstrong,Wayne Township,2nd Township
Armstrong,West Franklin Township,2nd Township
Armstrong,West Kittanning Borough,Borough
Armstrong,Worthington Borough,Borough
