COUNTY,MUNICIPALITY,CLASS
Beaver,Aliquippa City,3rd City
Beaver,Ambridge Borough,Borough
Beaver,Baden Borough,Borough
Beaver,Beaver Borough,Borough
Beaver,Beaver Falls City,3rd City
Beaver,Big Beaver Borough,Borough
Beaver,Bridgewater Borough,Borough
Beaver,Brighton Township,2nd Township
Beaver,Center Township,2nd Township
Beaver,Chippewa Township,2nd Township
Beaver,Conway Borough,Borough
Beaver,Darlington Borough,Borough
Beaver,Darlington Township,2nd Township
Beaver,Daugherty Township,2nd Township
Beaver,East Rochester Borough,Borough
Beaver,Eastvale Borough,Borough
Beaver,Economy Borough,Borough
Beaver,Fallston Borough,Borough
Beaver,Frankfort Springs Borough,Borough
Beaver,Franklin Township,2nd Township
Beaver,Freedom Borough,Borough
Beaver,Georgetown Borough,Borough
Beaver,Glasgow Borough,Borough
Beaver,Greene Township,2nd Township
Beaver,Hanover Township,2nd Township
Beaver,Harmony Township,1st Township
Beaver,Homewood Borough,Borough
Beaver,Hookstown Borough,Borough
Beaver,Hopewell Township,1st Township
Beaver,Independence Township,2nd Township
Beaver,Industry Borough,Borough
Beaver,Koppel Borough,Borough
Beaver,Marion Township,2nd Township
Beaver,Midland Borough,Borough
Beaver,Monaca Borough,Borough
Beaver,New Brighton Borough,Borough
Beaver,New Galilee Borough,Borough
Beaver,New Sewickley Township,2nd Township
Beaver,North Sewickley Township,2nd Township
Beaver,Ohioville Borough,Borough
Beaver,Patterson Heights Borough,Borough
Beaver,Patterson Township,1st Township
Beaver,Potter Township,2nd Township
Beaver,Pulaski Township,2nd Township
Beaver,Raccoon Township,2nd Township
Beaver,Rochester Borough,Borough
Beaver,Rochester Township,1st Township
Beaver,Shippingport Borough,Borough
Beaver,South Beaver Township,2nd Township
Beaver,South Heights Borough,Borough
Beaver,Vanport Township,1st Township
Beaver,West Mayfield Borough,Borough
Beaver,White Township,2nd Township
