COUNTY,MUNICIPALITY,CLASS
Bedford,Bedford Borough,Borough
Bedford,Bedford Township,2nd Township
Bedford,Bloomfield Township,2nd Township
Bedford,Broad Top Township,2nd Township
Bedford,Coaldale Borough,Borough
Bedford,Colerain Township,2nd Township
Bedford,Cumberland Valley Township,2nd Township
Bedford,East Providence Township,2nd Township
Bedford,East St Clair Township,2nd Township
Bedford,Everett Borough,Borough
Bedford,Harrison Township,2nd Township
Bedford,Hopewell Borough,Borough
Bedford,Hopewell Township,2nd Township
Bedford,Hyndman Borough,Borough
Bedford,Juniata Township,2nd Township
Bedford,Kimmel Township,2nd Township
Bedford,King Township,2nd Township
Bedford,Liberty Township,2nd Township
Bedford,Lincoln Township,2nd Township
Bedford,Londonderry Township,2nd Township
Bedford,Mann Township,2nd Township
Bedford,Manns Choice Borough,Borough
Bedford,Monroe Township,2nd Township
Bedford,Napier Township,2nd Township
Bedford,New Paris Borough,Borough
Bedford,Pavia Township,2nd Township
Bedford,Pleasantville Borough,Borough
Bedford,Rainsburg Borough,Borough
Bedford,Saxton Borough,Borough
Bedford,Schellsburg Borough,Borough
Bedford,Snake Spring Township,2nd Township
Bedford,South Woodbury Township,2nd Township
Bedford,Southampton Township,2nd Township
Bedford,St Clairsville Borough,Borough
Bedford,West Providence Township,2nd Township
Bedford,West St Clair Township,2nd Township
Bedford,Woodbury Borough,Borough
Bedford,Woodbury Township,2nd Township
