COUNTY,MUNICIPALITY,CLASS
Berks,Albany Township,2nd Township
Berks,Alsace Township,2nd Township
Berks,Amity Township,2nd Township
Berks,Bally Borough,Borough
Berks,Bechtelsville Borough,Borough
Berks,Bern Township,2nd Township
Berks,Bernville Borough,Borough
Berks,Bethel Township,2nd Township
Berks,Birdsboro Borough,Borough
Berks,Boyertown Borough,Borough
Berks,Brecknock Township,2nd Township
Berks,Caernarvon Township,2nd Township
Berks,Centerport Borough,Borough
Berks,Centre Township,2nd Township
Berks,Colebrookdale Township,1st Township
Berks,Cumru Township,1st Township
Berks,District Township,2nd Township
Berks,Douglass Township,2nd Township
Berks,Earl Township,2nd Township
Berks,Exeter Township,2nd Township
Berks,Fleetwood Borough,Borough
Berks,Greenwich Township,2nd Township
Berks,Hamburg Borough,Borough
Berks,Heidelberg Township,2nd Township
Berks,Hereford Township,2nd Township
Berks,Jefferson Township,2nd Township
Berks,Kenhorst Borough,Borough
Berks,Kutztown Borough,Borough
Berks,Laureldale Borough,Borough
Berks,Leesport Borough,Borough
Berks,Lenhartsville Borough,Borough
Berks,Longswamp Township,2nd Township
Berks,Lower Alsace Township,2nd Township
Berks,Lower Heidelberg Township,2nd Township
Berks,Lyons Borough,Borough
Berks,Maidencreek Township,2nd Township
Berks,Marion Township,2nd Township
Berks,Maxatawny Township,2nd Township
Berks,Mohnton Borough,Borough
Berks,Mt Penn Borough,Borough
Berks,Muhlenberg Township,1st Township
Berks,New Morgan Borough,Borough
Berks,North Heidelberg Township,2nd Township
Berks,Oley Township,2nd Township
Berks,Ontelaunee Township,2nd Township
Berks,Penn Township,2nd Township
Berks,Perry Township,2nd Township
Berks,Pike Township,2nd Township
Berks,Reading City,3rd City
Berks,Richmond Township,2nd Township
Berks,Robeson Township,2nd Township
Berks,Robesonia Borough,Borough
Berks,Rockland Township,2nd Township
Berks,Ruscombmanor Township,2nd Township
Berks,Shillington Borough,Borough
Berks,Shoemakersville Borough,Borough
Berks,Sinking Spring Borough,Borough
Berks,South Heidelberg Township,2nd Township
Berks,Spring Township,2nd Township
Berks,St Lawrence Borough,Borough
Berks,Tilden Township,2nd Township
Berks,Topton Borough,Borough
Berks,Tulpehocken Township,2nd Township
Berks,Union Township,2nd Township
Berks,Upper Bern Township,2nd Township
Berks,Upper Tulpehocken Township,2nd Township
Berks,Washington Township,2nd Township
Berks,Wernersville Borough,Borough
Berks,West Reading Borough,Borough
Berks,Windsor Township,2nd Township
Berks,Womelsdorf Borough,Borough
Berks,Wyomissing Borough,Borough
