COUNTY,MUNICIPALITY,CLASS
Blair,Allegheny Township,2nd Township
Blair,Altoona City,3rd City
Blair,Antis Township,2nd Township
Blair,Bellwood Borough,Borough
Blair,Blair Township,2nd Township
Blair,Catharine Township,2nd Township
Blair,Duncansville Borough,Borough
Blair,Frankstown Township,2nd Township
Blair,Freedom Township,2nd Township
Blair,Greenfield Township,2nd Township
Blair,Hollidaysburg Borough,Borough
Blair,Huston Township,2nd Township
Blair,Juniata Township,2nd Township
Blair,Logan Township,2nd Township
Blair,Martinsburg Borough,Borough
Blair,Newry Borough,Borough
Blair,North Woodbury Township,2nd Township
Blair,Roaring Spring Borough,Borough
Blair,Snyder Township,2nd Township
Blair,Taylor Township,2nd Township
Blair,Tyrone Borough,Borough
Blair,Tyrone Township,2nd Township
Blair,Williamsburg Borough,Borough
Blair,Woodbury Township,2nd Township
