COUNTY,MUNICIPALITY,CLASS
Bradford,Alba Borough,Borough
Bradford,Albany Township,2nd Township
Bradford,Armenia Township,2nd Township
Bradford,Asylum Township,2nd Township
Bradford,Athens Borough,Borough
Bradford,Athens Township,2nd Township
Bradford,Burlington Borough,Borough
Bradford,Burlington Township,2nd Township
Bradford,Canton Borough,Borough
Bradford,Canton Township,2nd Township
Bradford,Columbia Township,2nd Township
Bradford,Franklin Township,2nd Township
Bradford,Granville Township,2nd Township
Bradford,Herrick Township,2nd Township
Bradford,Leraysville Borough,Borough
Bradford,Leroy Township,2nd Township
Bradford,Litchfield Township,2nd Township
Bradford,Monroe Borough,Borough
Bradford,Monroe Township,2nd Township
Bradford,New Albany Borough,Borough
Bradford,North Towanda Township,2nd Township
Bradford,Orwell Township,2nd Township
Bradford,Overton Township,2nd Township
Bradford,Pike Township,2nd Township
Bradford,Ridgebury Township,2nd Township
Bradford,Rome Borough,Borough
Bradford,Rome Township,2nd Township
Bradford,Sayre Borough,Borough
Bradford,Sheshequin Township,2nd Township
Bradford,Smithfield Township,2nd Township
Bradford,South Creek Township,2nd Township
Bradford,South Waverly Borough,Borough
Bradford,Springfield Township,2nd Township
Bradford,Standing Stone Township,2nd Township
Bradford,Stevens Township,2nd Township
Bradford,Sylvania Borough,Borough
Bradford,Terry Township,2nd Township
Bradford,Towanda Borough,Borough
Bradford,Towanda Township,2nd Township
Bradford,Troy Borough,Borough
Bradford,Troy Township,2nd Township
Bradford,Tuscarora Township,2nd Township
Bradford,Ulster Township,2nd Township
Bradford,Warren Township,2nd Township
Bradford,Wells Township,2nd Township
Bradford,West Burlington Township,2nd Township
Bradford,Wilmot Township,2nd Township
Bradford,Windham Township,2nd Township
Bradford,Wyalusing Borough,Borough
Bradford,Wyalusing Township,2nd Township
Bradford,Wysox Township,2nd Township
