COUNTY,MUNICIPALITY,CLASS
Butler,Adams Township,2nd Township
Butler,Allegheny Township,2nd Township
Butler,Brady Township,2nd Township
Butler,Bruin Borough,Borough
Butler,Buffalo Township,2nd Township
Butler,Butler City,3rd City
Butler,Butler Township,1st Township
Butler,Callery Borough,Borough
Butler,Center Township,2nd Township
Butler,Cherry Township,2nd Township
Butler,Cherry Valley Borough,Borough
Butler,Chicora Borough,Borough
Butler,Clay Township,2nd Township
Butler,Clearfield Township,2nd Township
Butler,Clinton Township,2nd Township
Butler,Concord Township,2nd Township
Butler,Connoquenessing Borough,Borough
Butler,Connoquenessing Township,2nd Township
Butler,Cranberry Township,2nd Township
Butler,Donegal Township,2nd Township
Butler,East Butler Borough,Borough
Butler,Eau Claire Borough,Borough
Butler,Evans City Borough,Borough
Butler,Fairview Borough,Borough
Butler,Fairview Township,2nd Township
Butler,Forward Township,2nd Township
Butler,Franklin Township,2nd Township
Butler,Harmony Borough,Borough
Butler,Harrisville Borough,Borough
Butler,Jackson Township,2nd Township
Butler,Jefferson Township,2nd Township
Butler,Karns City Borough,Borough
Butler,Lancaster Township,2nd Township
Butler,Marion Township,2nd Township
Butler,Mars Borough,Borough
Butler,Mercer Township,2nd Township
Butler,Middlesex Township,2nd Township
Butler,Muddy Creek Township,2nd Township
Butler,Oakland Township,2nd Township
Butler,Parker Township,2nd Township
Butler,Penn Township,2nd Township
Butler,Petrolia Borough,Borough
Butler,Portersville Borough,Borough
Butler,Prospect Borough,Borough
Butler,Saxonburg Borough,Borough
Butler,Seven Fields Borough,Borough
Butler,Slippery Rock Borough,Borough
Butler,Slippery Rock Township,2nd Township
Butler,Summit Township,2nd Township
Butler,Valencia Borough,Borough
Butler,Venango Township,2nd Township
Butler,Washington Township,2nd Township
Butler,West Liberty Borough,Borough
Butler,West Sunbury Borough,Borough
Butler,Winfield Township,2nd Township
Butler,Worth Township,2nd Township
Butler,Zelienople Borough,Borough
