COUNTY,MUNICIPALITY,CLASS
Cambria,Adams Township,2nd Township
Cambria,Allegheny Township,2nd Township
Cambria,Ashville Borough,Borough
Cambria,Barr Township,2nd Township
Cambria,Blacklick Township,2nd Township
Cambria,Brownstown Borough,Borough
Cambria,Cambria Township,2nd Township
Cambria,Carrolltown Borough,Borough
Cambria,Cassandra Borough,Borough
Cambria,Chest Springs Borough,Borough
Cambria,Chest Township,2nd Township
Cambria,Clearfield Township,2nd Township
Cambria,Conemaugh Township,2nd Township
Cambria,Cresson Borough,Borough
Cambria,Cresson Township,2nd Township
Cambria,Croyle Township,2nd Township
Cambria,Daisytown Borough,Borough
Cambria,Dale Borough,Borough
Cambria,Dean Township,2nd Township
Cambria,East Carroll Township,2nd Township
Cambria,East Conemaugh Borough,Borough
Cambria,East Taylor Township,2nd Township
Cambria,Ebensburg Borough,Borough
Cambria,Ehrenfeld Borough,Borough
Cambria,Elder Township,2nd Township
Cambria,Ferndale Borough,Borough
Cambria,Franklin Borough,Borough
Cambria,Gallitzin Borough,Borough
Cambria,Gallitzin Township,2nd Township
Cambria,Geistown Borough,Borough
Cambria,Hastings Borough,Borough
Cambria,Jackson Township,2nd Township
Cambria,Johnstown City,3rd City
Cambria,Lilly Borough,Borough
Cambria,Lorain Borough,Borough
Cambria,Loretto Borough,Borough
Cambria,Lower Yoder Township,2nd Township
Cambria,Middle Taylor Township,2nd Township
Cambria,Munster Township,2nd Township
Cambria,Nanty Glo Borough,Borough
Cambria,Northern Cambria Borough,Borough
Cambria,Patton Borough,Borough
Cambria,Portage Borough,Borough
Cambria,Portage Township,2nd Township
Cambria,Reade Township,2nd Township
Cambria,Richland Township,2nd Township
Cambria,Sankertown Borough,Borough
Cambria,Scalp Level Borough,Borough
Cambria,South Fork Borough,Borough
Cambria,Southmont Borough,Borough
Cambria,Stonycreek Township,1st Township
Cambria,Summerhill Borough,Borough
Cambria,Summerhill Township,2nd Township
Cambria,Susquehanna Township,2nd Township
Cambria,Tunnelhill Borough,Borough
Cambria,Upper Yoder Township,2nd Township
Cambria,Vintondale Borough,Borough
Cambria,Washington Township,2nd Township
Cambria,West Carroll Township,2nd Township
Cambria,West Taylor Township,2nd Township
Cambria,Westmont Borough,Borough
Cambria,White Township,2nd Township
Cambria,Wilmore Borough,Borough
