COUNTY,MUNICIPALITY,CLASS
Carbon,Banks Township,2nd Township
Carbon,Beaver Meadows Borough,Borough
Carbon,Bowmanstown Borough,Borough
Carbon,East Penn Township,2nd Township
Carbon,East Side Borough,Borough
Carbon,Franklin Township,2nd Township
Carbon,Jim Thorpe Borough,Borough
Carbon,Kidder Township,2nd Township
Carbon,Lansford Borough,Borough
Carbon,Lausanne Township,2nd Township
Carbon,Lehigh Township,2nd Township
Carbon,Lehighton Borough,Borough
Carbon,Lower Towamensing Township,2nd Township
Carbon,Mahoning Township,2nd Township
Carbon,Nesquehoning Borough,Borough
Carbon,Packer Township,2nd Township
Carbon,Palmerton Borough,Borough
Carbon,Parryville Borough,Borough
Carbon,Penn Forest Township,2nd Township
Carbon,Summit Hill Borough,Borough
Carbon,Towamensing Township,2nd Township
Carbon,Weatherly Borough,Borough
Carbon,Weissport Borough,Borough
