COUNTY,MUNICIPALITY,CLASS
Centre,Bellefonte Borough,Borough
Centre,Benner Township,2nd Township
Centre,Boggs Township,2nd Township
Centre,Burnside Township,2nd Township
Centre,Centre Hall Borough,Borough
Centre,College Township,2nd Township
Centre,Curtin Township,2nd Township
Centre,Ferguson Township,2nd Township
Centre,Gregg Township,2nd Township
Centre,Haines Township,2nd Township
Centre,Halfmoon Township,2nd Township
Centre,Harris  Township,2nd Township
Centre,Howard Borough,Borough
Centre,Howard Township,2nd Township
Centre,Huston Township,2nd Township
Centre,Liberty Township,2nd Township
Centre,Marion Township,2nd Township
Centre,Miles Township,2nd Township
Centre,Milesburg Borough,Borough
Centre,Millheim Borough,Borough
Centre,Patton Township,2nd Township
Centre,Penn Township,2nd Township
Centre,Philipsburg Borough,Borough
Centre,Port Matilda Borough,Borough
Centre,Potter Township,2nd Township
Centre,Rush Township,2nd Township
Centre,Snow Shoe Borough,Borough
Centre,Snow Shoe Township,2nd Township
Centre,Spring Township,2nd Township
Centre,State College Borough,Borough
Centre,Taylor Township,2nd Township
Centre,Union Township,2nd Township
Centre,Unionville Borough,Borough
Centre,Walker Township,2nd Township
Centre,Worth Township,2nd Township
