COUNTY,MUNICIPALITY,CLASS
Clearfield,Beccaria Township,2nd Township
Clearfield,Bell Township,2nd Township
Clearfield,Bigler Township,2nd Township
Clearfield,Bloom Township,2nd Township
Clearfield,Boggs Township,2nd Township
Clearfield,Bradford Township,2nd Township
Clearfield,Brady Township,2nd Township
Clearfield,Brisbin Borough,Borough
Clearfield,Burnside Borough,Borough
Clearfield,Burnside Township,2nd Township
Clearfield,Chest Township,2nd Township
Clearfield,Chester Hill Borough,Borough
Clearfield,Clearfield Borough,Borough
Clearfield,Coalport Borough,Borough
Clearfield,Cooper Township,2nd Township
Clearfield,Covington Township,2nd Township
Clearfield,Curwensville Borough,Borough
Clearfield,Decatur Township,2nd Township
Clearfield,Dubois City,3rd City
Clearfield,Ferguson Township,2nd Township
Clearfield,Girard Township,2nd Township
Clearfield,Glen Hope Borough,Borough
Clearfield,Goshen Township,2nd Township
Clearfield,Graham Township,2nd Township
Clearfield,Grampian Borough,Borough
Clearfield,Greenwood Township,2nd Township
Clearfield,Gulich Township,2nd Township
Clearfield,Houtzdale Borough,Borough
Clearfield,Huston Township,2nd Township
Clearfield,Irvona Borough,Borough
Clearfield,Jordan Township,2nd Township
Clearfield,Karthaus Township,2nd Township
Clearfield,Knox Township,2nd Township
Clearfield,Lawrence Township,2nd Township
Clearfield,Mahaffey Borough,Borough
Clearfield,Morris Township,2nd Township
Clearfield,New Washington Borough,Borough
Clearfield,Newburg Borough,Borough
Clearfield,Osceola Mills Borough,Borough
Clearfield,Penn Township,2nd Township
Clearfield,Pike Township,2nd Township
Clearfield,Pine Township,2nd Township
Clearfield,Ramey Borough,Borough
Clearfield,Sandy Township,2nd Township
Clearfield,Troutville Borough,Borough
Clearfield,Union Township,2nd Township
Clearfield,Wallaceton Borough,Borough
Clearfield,Westover Borough,Borough
Clearfield,Woodward Township,2nd Township
