COUNTY,MUNICIPALITY,CLASS
Clinton,Allison Township,2nd Township
Clinton,Avis Borough,Borough
Clinton,Bald Eagle Township,2nd Township
Clinton,Beech Creek Borough,Borough
Clinton,Beech Creek Township,2nd Township
Clinton,Castanea Township,2nd Township
Clinton,Chapman Township,2nd Township
Clinton,Colebrook Township,2nd Township
Clinton,Crawford Township,2nd Township
Clinton,Dunnstable Township,2nd Township
Clinton,Flemington Borough,Borough
Clinton,Gallagher Township,2nd Township
Clinton,Greene Township,2nd Township
Clinton,Grugan Township,2nd Township
Clinton,Lamar Township,2nd Township
Clinton,Leidy Township,2nd Township
Clinton,Lock Haven City,3rd City
Clinton,Logan Township,2nd Township
Clinton,Loganton Borough,Borough
Clinton,Mill Hall Borough,Borough
Clinton,Noyes Township,2nd Township
Clinton,Pine Creek Township,2nd Township
Clinton,Porter Township,2nd Township
Clinton,Renovo Borough,Borough
Clinton,South Renovo Borough,Borough
Clinton,Wayne Township,2nd Township
Clinton,West Keating Township,2nd Township
Clinton,Woodward Township,2nd Township
