COUNTY,MUNICIPALITY,CLASS
Columbia,Beaver Township,2nd Township
Columbia,Benton Borough,Borough
Columbia,Benton Township,2nd Township
Columbia,Berwick Borough,Borough
Columbia,Bloomsburg Town,Town
Columbia,Briar Creek Borough,Borough
Columbia,Briar Creek Township,2nd Township
Columbia,Catawissa Borough,Borough
Columbia,Catawissa Township,2nd Township
Columbia,Centralia Borough,Borough
Columbia,Cleveland Township,2nd Township
Columbia,Conyngham Township,2nd Township
Columbia,Fishing Creek Township,2nd Township
Columbia,Franklin Township,2nd Township
Columbia,Greenwood Township,2nd Township
Columbia,Hemlock Township,2nd Township
Columbia,Jackson Township,2nd Township
Columbia,Locust Township,2nd Township
Columbia,Madison Township,2nd Township
Columbia,Main Township,2nd Township
Columbia,Mifflin Township,2nd Township
Columbia,Millville Borough,Borough
Columbia,Montour Township,2nd Township
Columbia,Mt Pleasant Township,2nd Township
Columbia,North Centre Township,2nd Township
Columbia,Orange Township,2nd Township
Columbia,Orangeville Borough,Borough
Columbia,Pine Township,2nd Township
Columbia,Roaring Creek Township,2nd Township
Columbia,Scott Township,2nd Township
Columbia,South Centre Township,2nd Township
Columbia,Stillwater Borough,Borough
Columbia,Sugarloaf Township,2nd Township
