COUNTY,MUNICIPALITY,CLASS
Crawford,Athens Township,2nd Township
Crawford,Beaver Township,2nd Township
Crawford,Bloomfield Township,2nd Township
Crawford,Blooming Valley Borough,Borough
Crawford,Cambridge Springs Borough,Borough
Crawford,Cambridge Township,2nd Township
Crawford,Centerville Borough,Borough
Crawford,Cochranton Borough,Borough
Crawford,Conneaut Lake Borough,Borough
Crawford,Conneaut Township,2nd Township
Crawford,Conneautville Borough,Borough
Crawford,Cussewago Township,2nd Township
Crawford,East Fairfield Township,2nd Township
Crawford,East Fallowfield Township,2nd Township
Crawford,East Mead Township,2nd Township
Crawford,Fairfield Township,2nd Township
Crawford,Greenwood Township,2nd Township
Crawford,Hayfield Township,2nd Township
Crawford,Hydetown Borough,Borough
Crawford,Linesville Borough,Borough
Crawford,Meadville City,3rd City
Crawford,North Shenango Township,2nd Township
Crawford,Oil Creek Township,2nd Township
Crawford,Pine Township,2nd Township
Crawford,Randolph Township,2nd Township
Crawford,Richmond Township,2nd Township
Crawford,Rockdale Township,2nd Township
Crawford,Rome Township,2nd Township
Crawford,Sadsbury Township,2nd Township
Crawford,Saegertown Borough,Borough
Crawford,South Shenango Township,2nd Township
Crawford,Sparta Township,2nd Township
Crawford,Spartansburg Borough,Borough
Crawford,Spring Township,2nd Township
Crawford,Springboro Borough,Borough
Crawford,Steuben Township,2nd Township
Crawford,Summerhill Township,2nd Township
Crawford,Summit Township,2nd Township
Crawford,Titusville City,3rd City
Crawford,Townville Borough,Borough
Crawford,Troy Township,2nd Township
Crawford,Union Township,2nd Township
Crawford,Venango Borough,Borough
Crawford,Venango Township,2nd Township
Crawford,Vernon Township,2nd Township
Crawford,Wayne Township,2nd Township
Crawford,West Fallowfield Township,2nd Township
Crawford,West Mead Township,2nd Township
Crawford,West Shenango Township,2nd Township
Crawford,Woodcock Borough,Borough
Crawford,Woodcock Township,2nd Township
