COUNTY,MUNICIPALITY,CLASS
Cumberland,Camp Hill Borough,Borough
Cumberland,Carlisle Borough,Borough
Cumberland,Cooke Township,2nd Township
Cumberland,Dickinson Township,2nd Township
Cumberland,East Pennsboro Township,1st Township
Cumberland,Hampden Township,1st Township
Cumberland,Hopewell Township,2nd Township
Cumberland,Lemoyne Borough,Borough
Cumberland,Lower Allen Township,1st Township
Cumberland,Lower Frankford Township,2nd Township
Cumberland,Lower Mifflin Township,2nd Township
Cumberland,Mechanicsburg Borough,Borough
Cumberland,Middlesex Township,2nd Township
Cumberland,Monroe Township,2nd Township
Cumberland,Mt Holly Springs Borough,Borough
Cumberland,New Cumberland Borough,Borough
Cumberland,Newburg Borough,Borough
Cumberland,Newville Borough,Borough
Cumberland,North Middleton Township,2nd Township
Cumberland,North Newton Township,2nd Township
Cumberland,Penn Township,2nd Township
Cumberland,Shippensburg Borough,Borough
Cumberland,Shippensburg Township,2nd Township
Cumberland,Shiremanstown Borough,Borough
Cumberland,Silver Spring Township,2nd Township
Cumberland,South Middleton Township,2nd Township
Cumberland,South Newton Township,2nd Township
Cumberland,Southampton Township,2nd Township
Cumberland,Upper Allen Township,1st Township
Cumberland,Upper Frankford Township,2nd Township
Cumberland,Upper Mifflin Township,2nd Township
Cumberland,West Pennsboro Township,2nd Township
Cumberland,Wormleysburg Borough,Borough
