COUNTY,MUNICIPALITY,CLASS
Dauphin,Berrysburg Borough,Borough
Dauphin,Conewago Township,2nd Township
Dauphin,Dauphin Borough,Borough
Dauphin,Derry Township,2nd Township
Dauphin,East Hanover Township,2nd Township
Dauphin,Elizabethville Borough,Borough
Dauphin,Gratz Borough,Borough
Dauphin,Halifax Borough,Borough
Dauphin,Halifax Township,2nd Township
Dauphin,Harrisburg City,3rd City
Dauphin,Highspire Borough,Borough
Dauphin,Hummelstown Borough,Borough
Dauphin,Jackson Township,2nd Township
Dauphin,Jefferson Township,2nd Township
Dauphin,Londonderry Township,2nd Township
Dauphin,Lower Paxton Township,2nd Township
Dauphin,Lower Swatara Township,1st Township
Dauphin,Lykens Borough,Borough
Dauphin,Lykens Township,2nd Township
Dauphin,Middle Paxton Township,2nd Township
Dauphin,Middletown Borough,Borough
Dauphin,Mifflin Township,2nd Township
Dauphin,Millersburg Borough,Borough
Dauphin,Paxtang Borough,Borough
Dauphin,Penbrook Borough,Borough
Dauphin,Pillow Borough,Borough
Dauphin,Reed Township,2nd Township
Dauphin,Royalton Borough,Borough
Dauphin,Rush Township,2nd Township
Dauphin,South Hanover Township,2nd Township
Dauphin,Steelton Borough,Borough
Dauphin,Susquehanna Township,1st Township
Dauphin,Swatara Township,1st Township
Dauphin,Upper Paxton Township,2nd Township
Dauphin,Washington Township,2nd Township
Dauphin,Wayne Township,2nd Township
Dauphin,West Hanover Township,2nd Township
Dauphin,Wiconisco Township,2nd Township
Dauphin,Williams Township,2nd Township
Dauphin,Williamstown Borough,Borough
