COUNTY,MUNICIPALITY,CLASS
Delaware,Aldan Borough,Borough
Delaware,Aston Township,1st Township
Delaware,Bethel Township,2nd Township
Delaware,Brookhaven Borough,Borough
Delaware,Chadds Ford Township,2nd Township
Delaware,Chester City,3rd City
Delaware,Chester Heights Borough,Borough
Delaware,Chester Township,2nd Township
Delaware,Clifton Heights Borough,Borough
Delaware,Collingdale Borough,Borough
Delaware,Colwyn Borough,Borough
Delaware,Concord Township,2nd Township
Delaware,Darby Borough,Borough
Delaware,Darby Township,1st Township
Delaware,East Lansdowne Borough,Borough
Delaware,Eddystone Borough,Borough
Delaware,Edgmont Township,2nd Township
Delaware,Folcroft Borough,Borough
Delaware,Glenolden Borough,Borough
Delaware,Haverford Township,1st Township
Delaware,Lansdowne Borough,Borough
Delaware,Lower Chichester Township,1st Township
Delaware,Marcus Hook Borough,Borough
Delaware,Marple Township,1st Township
Delaware,Media Borough,Borough
Delaware,Middletown Township,2nd Township
Delaware,Millbourne Borough,Borough
Delaware,Morton Borough,Borough
Delaware,Nether Providence Township,1st Township
Delaware,Newtown Township,2nd Township
Delaware,Norwood Borough,Borough
Delaware,Parkside Borough,Borough
Delaware,Prospect Park Borough,Borough
Delaware,Radnor Township,1st Township
Delaware,Ridley Park Borough,Borough
Delaware,Ridley Township,1st Township
Delaware,Rose Valley Borough,Borough
Delaware,Rutledge Borough,Borough
Delaware,Sharon Hill Borough,Borough
Delaware,Springfield Township,1st Township
Delaware,Swarthmore Borough,Borough
Delaware,Thornbury Township,2nd Township
Delaware,Tinicum Township,1st Township
Delaware,Trainer Borough,Borough
Delaware,Upland Borough,Borough
Delaware,Upper Chichester Township,1st Township
Delaware,Upper Darby Township,1st Township
Delaware,Upper Providence Township,2nd Township
Delaware,Yeadon Borough,Borough
