COUNTY,MUNICIPALITY,CLASS
Erie,Albion Borough,Borough
Erie,Amity Township,2nd Township
Erie,Concord Township,2nd Township
Erie,Conneaut Township,2nd Township
Erie,Corry City,3rd City
Erie,Cranesville Borough,Borough
Erie,Edinboro Borough,Borough
Erie,Elgin Borough,Borough
Erie,Elk Creek Township,2nd Township
Erie,Erie City,3rd City
Erie,Fairview Township,2nd Township
Erie,Franklin Township,2nd Township
Erie,Girard Borough,Borough
Erie,Girard Township,2nd Township
Erie,Greene Township,2nd Township
Erie,Greenfield Township,2nd Township
Erie,Harborcreek Township,2nd Township
Erie,Lake City Borough,Borough
Erie,Lawrence Park Township,1st Township
Erie,Le Boeuf Township,2nd Township
Erie,Mckean Borough,Borough
Erie,Mckean Township,2nd Township
Erie,Mill Village Borough,Borough
Erie,Millcreek Township,2nd Township
Erie,North East Borough,Borough
Erie,North East Township,2nd Township
Erie,Platea Borough,Borough
Erie,Springfield Township,2nd Township
Erie,Summit Township,2nd Township
Erie,Union City Borough,Borough
Erie,Union Township,2nd Township
Erie,Venango Township,2nd Township
Erie,Washington Township,2nd Township
Erie,Waterford Borough,Borough
Erie,Waterford Township,2nd Township
Erie,Wattsburg Borough,Borough
Erie,Wayne Township,2nd Township
Erie,Wesleyville Borough,Borough
