COUNTY,MUNICIPALITY,CLASS
Fayette,Belle Vernon Borough,Borough
Fayette,Brownsville Borough,Borough
Fayette,Brownsville Township,2nd Township
Fayette,Bullskin Township,2nd Township
Fayette,Connellsville City,3rd City
Fayette,Connellsville Township,2nd Township
Fayette,Dawson Borough,Borough
Fayette,Dunbar Borough,Borough
Fayette,Dunbar Township,2nd Township
Fayette,Everson Borough,Borough
Fayette,Fairchance Borough,Borough
Fayette,Fayette City Borough,Borough
Fayette,Franklin Township,2nd Township
Fayette,Georges Township,2nd Township
Fayette,German Township,2nd Township
Fayette,Henry Clay Township,2nd Township
Fayette,Jefferson Township,2nd Township
Fayette,Lower Tyrone Township,2nd Township
Fayette,Luzerne Township,2nd Township
Fayette,Markleysburg Borough,Borough
Fayette,Masontown Borough,Borough
Fayette,Menallen Township,2nd Township
Fayette,Newell Borough,Borough
Fayette,Nicholson Township,2nd Township
Fayette,North Union Township,2nd Township
Fayette,Ohiopyle Borough,Borough
Fayette,Perry Township,2nd Township
Fayette,Perryopolis Borough,Borough
Fayette,Point Marion Borough,Borough
Fayette,Redstone Township,2nd Township
Fayette,Saltlick Township,2nd Township
Fayette,Smithfield Borough,Borough
Fayette,South Connellsville Borough,Borough
Fayette,South Union Township,2nd Township
Fayette,Springfield Township,2nd Township
Fayette,Springhill Township,2nd Township
Fayette,Stewart Township,2nd Township
Fayette,Uniontown City,3rd City
Fayette,Upper Tyrone Township,2nd Township
Fayette,Vanderbilt Borough,Borough
Fayette,Washington Township,2nd Township
Fayette,Wharton Township,2nd Township
