COUNTY,MUNICIPALITY,CLASS
Franklin,Antrim Township,2nd Township
Franklin,Chambersburg Borough,Borough
Franklin,Fannett Township,2nd Township
Franklin,Greencastle Borough,Borough
Franklin,Greene Township,2nd Township
Franklin,Guilford Township,2nd Township
Franklin,Hamilton Township,2nd Township
Franklin,Letterkenny Township,2nd Township
Franklin,Lurgan Township,2nd Township
Franklin,Mercersburg Borough,Borough
Franklin,Metal  Township,2nd Township
Franklin,Mont Alto Borough,Borough
Franklin,Montgomery Township,2nd Township
Franklin,Orrstown Borough,Borough
Franklin,Peters Township,2nd Township
Franklin,Quincy Township,2nd Township
Franklin,Southampton Township,2nd Township
Franklin,St Thomas Township,2nd Township
Franklin,Warren Township,2nd Township
Franklin,Washington Township,2nd Township
Franklin,Waynesboro Borough,Borough
