COUNTY,MUNICIPALITY,CLASS
Fulton,Ayr Township,2nd Township
Fulton,Belfast Township,2nd Township
Fulton,Bethel Township,2nd Township
Fulton,Brush Creek Township,2nd Township
Fulton,Dublin Township,2nd Township
Fulton,Licking Creek Township,2nd Township
Fulton,Mcconnellsburg Borough,Borough
Fulton,Taylor Township,2nd Township
Fulton,Thompson Township,2nd Township
Fulton,Todd Township,2nd Township
Fulton,Union Township,2nd Township
Fulton,Valley-Hi Borough,Borough
Fulton,Wells Township,2nd Township
