COUNTY,MUNICIPALITY,CLASS
Greene,Aleppo Township,2nd Township
Greene,Carmichaels Borough,Borough
Greene,Center Township,2nd Township
Greene,Clarksville Borough,Borough
Greene,Cumberland Township,2nd Township
Greene,Dunkard Township,2nd Township
Greene,Franklin Township,2nd Township
Greene,Freeport Township,2nd Township
Greene,Gilmore Township,2nd Township
Greene,Gray Township,2nd Township
Greene,Greene Township,2nd Township
Greene,Greensboro Borough,Borough
Greene,Jackson Township,2nd Township
Greene,Jefferson Borough,Borough
Greene,Jefferson Township,2nd Township
Greene,Monongahela Township,2nd Township
Greene,Morgan Township,2nd Township
Greene,Morris Township,2nd Township
Greene,Perry Township,2nd Township
Greene,Rices Landing Borough,Borough
Greene,Richhill Township,2nd Township
Greene,Springhill Township,2nd Township
Greene,Washington Township,2nd Township
Greene,Wayne Township,2nd Township
Greene,Waynesburg Borough,Borough
Greene,Whiteley Township,2nd Township
