COUNTY,MUNICIPALITY,CLASS
Huntingdon,Alexandria Borough,Borough
Huntingdon,Barree Township,2nd Township
Huntingdon,Birmingham Borough,Borough
Huntingdon,Brady Township,2nd Township
Huntingdon,Broad Top City Borough,Borough
Huntingdon,Carbon Township,2nd Township
Huntingdon,Cass Township,2nd Township
Huntingdon,Cassville Borough,Borough
Huntingdon,Clay Township,2nd Township
Huntingdon,Coalmont Borough,Borough
Huntingdon,Cromwell Township,2nd Township
Huntingdon,Dublin Township,2nd Township
Huntingdon,Dudley Borough,Borough
Huntingdon,Franklin Township,2nd Township
Huntingdon,Henderson Township,2nd Township
Huntingdon,Hopewell Township,2nd Township
Huntingdon,Huntingdon Borough,Borough
Huntingdon,Jackson Township,2nd Township
Huntingdon,Juniata Township,2nd Township
Huntingdon,Lincoln Township,2nd Township
Huntingdon,Logan Township,2nd Township
Huntingdon,Mapleton Borough,Borough
Huntingdon,Marklesburg Borough,Borough
Huntingdon,Mill Creek Borough,Borough
Huntingdon,Miller Township,2nd Township
Huntingdon,Morris Township,2nd Township
Huntingdon,Mount Union Borough,Borough
Huntingdon,Oneida Township,2nd Township
Huntingdon,Orbisonia Borough,Borough
Huntingdon,Penn Township,2nd Township
Huntingdon,Petersburg Borough,Borough
Huntingdon,Porter Township,2nd Township
Huntingdon,Rockhill Borough,Borough
Huntingdon,Saltillo Borough,Borough
Huntingdon,Shade Gap Borough,Borough
Huntingdon,Shirley Township,2nd Township
Huntingdon,Shirleysburg Borough,Borough
Huntingdon,Smithfield Township,2nd Township
Huntingdon,Springfield Township,2nd Township
Huntingdon,Spruce Creek Township,2nd Township
Huntingdon,Tell Township,2nd Township
Huntingdon,Three Springs Borough,Borough
Huntingdon,Todd Township,2nd Township
Huntingdon,Union Township,2nd Township
Huntingdon,Walker Township,2nd Township
Huntingdon,Warriors Mark Township,2nd Township
Huntingdon,West Township,2nd Township
Huntingdon,Wood Township,2nd Township
