COUNTY,MUNICIPALITY,CLASS
Indiana,Armagh Borough,Borough
Indiana,Armstrong Township,2nd Township
Indiana,Banks Township,2nd Township
Indiana,Black Lick Township,2nd Township
Indiana,Blairsville Borough,Borough
Indiana,Brush Valley Township,2nd Township
Indiana,Buffington Township,2nd Township
Indiana,Burrell Township,2nd Township
Indiana,Canoe Township,2nd Township
Indiana,Center Township,2nd Township
Indiana,Cherry Tree Borough,Borough
Indiana,Cherryhill Township,2nd Township
Indiana,Clymer Borough,Borough
Indiana,Conemaugh Township,2nd Township
Indiana,Creekside Borough,Borough
Indiana,East Mahoning Township,2nd Township
Indiana,East Wheatfield Township,2nd Township
Indiana,Ernest Borough,Borough
Indiana,Glen Campbell Borough,Borough
Indiana,Grant Township,2nd Township
Indiana,Green Township,2nd Township
Indiana,Homer City Borough,Borough
Indiana,Indiana Borough,Borough
Indiana,Marion Center Borough,Borough
Indiana,Montgomery Township,2nd Township
Indiana,North Mahoning Township,2nd Township
Indiana,Pine Township,2nd Township
Indiana,Plumville Borough,Borough
Indiana,Rayne Township,2nd Township
Indiana,Saltsburg Borough,Borough
Indiana,Shelocta Borough,Borough
Indiana,Smicksburg Borough,Borough
Indiana,South Mahoning Township,2nd Township
Indiana,Washington Township,2nd Township
Indiana,West Mahoning Township,2nd Township
Indiana,West Wheatfield Township,2nd Township
Indiana,White Township,2nd Township
Indiana,Young Township,2nd Township
