COUNTY,MUNICIPALITY,CLASS
Jefferson,Barnett Township,2nd Township
Jefferson,Beaver Township,2nd Township
Jefferson,Bell Township,2nd Township
Jefferson,Big Run Borough,Borough
Jefferson,Brockway Borough,Borough
Jefferson,Brookville Borough,Borough
Jefferson,Clover Township,2nd Township
Jefferson,Corsica Borough,Borough
Jefferson,Eldred Township,2nd Township
Jefferson,Falls Creek Borough,Borough
Jefferson,Gaskill Township,2nd Township
Jefferson,Heath Township,2nd Township
Jefferson,Henderson Township,2nd Township
Jefferson,Knox Township,2nd Township
Jefferson,Mccalmont Township,2nd Township
Jefferson,Oliver Township,2nd Township
Jefferson,Perry Township,2nd Township
Jefferson,Pine Creek Township,2nd Township
Jefferson,Polk Township,2nd Township
Jefferson,Porter Township,2nd Township
Jefferson,Punxsutawney Borough,Borough
Jefferson,Reynoldsville Borough,Borough
Jefferson,Ringgold Township,2nd Township
Jefferson,Rose Township,2nd Township
Jefferson,Snyder Township,2nd Township
Jefferson,Summerville Borough,Borough
Jefferson,Sykesville Borough,Borough
Jefferson,Timblin Borough,Borough
Jefferson,Union Township,2nd Township
Jefferson,Warsaw Township,2nd Township
Jefferson,Washington Township,2nd Township
Jefferson,Winslow Township,2nd Township
Jefferson,Worthville Borough,Borough
Jefferson,Young Township,2nd Township
