COUNTY,MUNICIPALITY,CLASS
Lackawanna,Waverly Township (Abington Township),2nd Township
Lackawanna,Archbald Borough,Borough
Lackawanna,Benton Township,2nd Township
Lackawanna,Blakely Borough,Borough
Lackawanna,Carbondale City,3rd City
Lackawanna,Carbondale Township,2nd Township
Lackawanna,Clarks Green Borough,Borough
Lackawanna,Clarks Summit Borough,Borough
Lackawanna,Clifton Township,2nd Township
Lackawanna,Covington Township,2nd Township
Lackawanna,Dalton Borough,Borough
Lackawanna,Dickson City Borough,Borough
Lackawanna,Dunmore Borough,Borough
Lackawanna,Elmhurst Township,2nd Township
Lackawanna,Fell Township,2nd Township
Lackawanna,Glenburn Township,2nd Township
Lackawanna,Greenfield Township,2nd Township
Lackawanna,Jefferson Township,2nd Township
Lackawanna,Jermyn Borough,Borough
Lackawanna,Jessup Borough,Borough
Lackawanna,Laplume Township,2nd Township
Lackawanna,Madison Township,2nd Township
Lackawanna,Mayfield Borough,Borough
Lackawanna,Moosic Borough,Borough
Lackawanna,Moscow Borough,Borough
Lackawanna,Newton Township,2nd Township
Lackawanna,North Abington Township,2nd Township
Lackawanna,Old Forge Borough,Borough
Lackawanna,Olyphant Borough,Borough
Lackawanna,Ransom Township,2nd Township
Lackawanna,Roaring Brook Township,2nd Township
Lackawanna,Scott Township,2nd Township
Lackawanna,Scranton City,2nd-A City
Lackawanna,South Abington Township,2nd Township
Lackawanna,Spring Brook Township,2nd Township
Lackawanna,Taylor Borough,Borough
Lackawanna,Thornhurst Township,2nd Township
Lackawanna,Throop Borough,Borough
Lackawanna,Vandling Borough,Borough
Lackawanna,West Abington Township,2nd Township
