COUNTY,MUNICIPALITY,CLASS
Lancaster,Adamstown Borough,Borough
Lancaster,Akron Borough,Borough
Lancaster,Bart Township,2nd Township
Lancaster,Brecknock Township,2nd Township
Lancaster,Caernarvon Township,2nd Township
Lancaster,Christiana Borough,Borough
Lancaster,Clay Township,2nd Township
Lancaster,Colerain Township,2nd Township
Lancaster,Columbia Borough,Borough
Lancaster,Conestoga Township,2nd Township
Lancaster,Conoy Township,2nd Township
Lancaster,Denver Borough,Borough
Lancaster,Drumore Township,2nd Township
Lancaster,Earl Township,2nd Township
Lancaster,East Cocalico Township,2nd Township
Lancaster,East Donegal Township,2nd Township
Lancaster,East Drumore Township,2nd Township
Lancaster,East Earl Township,2nd Township
Lancaster,East Hempfield Township,2nd Township
Lancaster,East Lampeter Township,2nd Township
Lancaster,East Petersburg Borough,Borough
Lancaster,Eden Township,2nd Township
Lancaster,Elizabeth Township,2nd Township
Lancaster,Elizabethtown Borough,Borough
Lancaster,Ephrata Borough,Borough
Lancaster,Ephrata Township,2nd Township
Lancaster,Fulton Township,2nd Township
Lancaster,Lancaster City,3rd City
Lancaster,Lancaster Township,2nd Township
Lancaster,Leacock Township,2nd Township
Lancaster,Lititz Borough,Borough
Lancaster,Little Britain Township,2nd Township
Lancaster,Manheim Borough,Borough
Lancaster,Manheim Township,1st Township
Lancaster,Manor Township,2nd Township
Lancaster,Marietta Borough,Borough
Lancaster,Martic Township,2nd Township
Lancaster,Millersville Borough,Borough
Lancaster,Mount Joy Borough,Borough
Lancaster,Mountville Borough,Borough
Lancaster,Mt Joy Township,2nd Township
Lancaster,New Holland Borough,Borough
Lancaster,Paradise Township,2nd Township
Lancaster,Penn Township,2nd Township
Lancaster,Pequea Township,2nd Township
Lancaster,Providence Township,2nd Township
Lancaster,Quarryville Borough,Borough
Lancaster,Rapho Township,2nd Township
Lancaster,Sadsbury Township,2nd Township
Lancaster,Salisbury Township,2nd Township
Lancaster,Strasburg Borough,Borough
Lancaster,Strasburg Township,2nd Township
Lancaster,Terre Hill Borough,Borough
Lancaster,Upper Leacock Township,2nd Township
Lancaster,Warwick Township,2nd Township
Lancaster,West Cocalico Township,2nd Township
Lancaster,West Donegal Township,2nd Township
Lancaster,West Earl Township,2nd Township
Lancaster,West Hempfield Township,2nd Township
Lancaster,West Lampeter Township,2nd Township
