COUNTY,MUNICIPALITY,CLASS
Lawrence,Bessemer Borough,Borough
Lawrence,Ellport Borough,Borough
Lawrence,Ellwood City Borough,Borough
Lawrence,Enon Valley Borough,Borough
Lawrence,Hickory Township,2nd Township
Lawrence,Little Beaver Township,2nd Township
Lawrence,Mahoning Township,2nd Township
Lawrence,Neshannock Township,2nd Township
Lawrence,New Beaver Borough,Borough
Lawrence,New Castle City,3rd City
Lawrence,New Wilmington Borough,Borough
Lawrence,North Beaver Township,2nd Township
Lawrence,Perry Township,2nd Township
Lawrence,Plain Grove Township,2nd Township
Lawrence,Pulaski Township,2nd Township
Lawrence,S.N.P.J. Borough,Borough
Lawrence,Scott Township,2nd Township
Lawrence,Shenango Township,2nd Township
Lawrence,Slippery Rock Township,2nd Township
Lawrence,South New Castle Borough,Borough
Lawrence,Taylor Township,2nd Township
Lawrence,Union Township,2nd Township
Lawrence,Volant Borough,Borough
Lawrence,Wampum Borough,Borough
Lawrence,Washington Township,2nd Township
Lawrence,Wayne Township,2nd Township
Lawrence,Wilmington Township,2nd Township
