COUNTY,MUNICIPALITY,CLASS
Lebanon,Annville Township,1st Township
Lebanon,Bethel Township,2nd Township
Lebanon,Cleona Borough,Borough
Lebanon,Cold Spring Township,2nd Township
Lebanon,Cornwall Borough,Borough
Lebanon,East Hanover Township,2nd Township
Lebanon,Heidelberg Township,2nd Township
Lebanon,Jackson Township,2nd Township
Lebanon,Jonestown Borough,Borough
Lebanon,Lebanon City,3rd City
Lebanon,Millcreek Township,2nd Township
Lebanon,Mt Gretna Borough,Borough
Lebanon,Myerstown Borough,Borough
Lebanon,North Annville Township,2nd Township
Lebanon,North Cornwall Township,2nd Township
Lebanon,North Lebanon Township,2nd Township
Lebanon,North Londonderry Township,2nd Township
Lebanon,Palmyra Borough,Borough
Lebanon,Richland Borough,Borough
Lebanon,South Annville Township,2nd Township
Lebanon,South Lebanon Township,2nd Township
Lebanon,South Londonderry Township,2nd Township
Lebanon,Swatara Township,2nd Township
Lebanon,Union Township,2nd Township
Lebanon,West Cornwall Township,2nd Township
Lebanon,West Lebanon Township,1st Township
