COUNTY,MUNICIPALITY,CLASS
Lehigh,Alburtis Borough,Borough
Lehigh,Allentown City,3rd City
Lehigh,Catasauqua Borough,Borough
Lehigh,Coopersburg Borough,Borough
Lehigh,Coplay Borough,Borough
Lehigh,Emmaus Borough,Borough
Lehigh,Fountain Hill Borough,Borough
Lehigh,Hanover Township,2nd Township
Lehigh,Heidelberg Township,2nd Township
Lehigh,Lower Macungie Township,1st Township
Lehigh,Lower Milford Township,2nd Township
Lehigh,Lowhill Township,2nd Township
Lehigh,Lynn Township,2nd Township
Lehigh,Macungie Borough,Borough
Lehigh,North Whitehall Township,2nd Township
Lehigh,Salisbury Township,1st Township
Lehigh,Slatington Borough,Borough
Lehigh,South Whitehall Township,1st Township
Lehigh,Upper Macungie Township,2nd Township
Lehigh,Upper Milford Township,2nd Township
Lehigh,Upper Saucon Township,2nd Township
Lehigh,Washington Township,2nd Township
Lehigh,Weisenberg Township,2nd Township
Lehigh,Whitehall Township,1st Township
