COUNTY,MUNICIPALITY,CLASS
Luzerne,Ashley Borough,Borough
Luzerne,Avoca Borough,Borough
Luzerne,Bear Creek Township,2nd Township
Luzerne,Bear Creek Village Borough,Borough
Luzerne,Black Creek Township,2nd Township
Luzerne,Buck Township,2nd Township
Luzerne,Butler Township,2nd Township
Luzerne,Conyngham Borough,Borough
Luzerne,Conyngham Township,2nd Township
Luzerne,Courtdale Borough,Borough
Luzerne,Dallas Borough,Borough
Luzerne,Dallas Township,2nd Township
Luzerne,Dennison Township,2nd Township
Luzerne,Dorrance Township,2nd Township
Luzerne,Dupont Borough,Borough
Luzerne,Duryea Borough,Borough
Luzerne,Edwardsville Borough,Borough
Luzerne,Exeter Borough,Borough
Luzerne,Exeter Township,2nd Township
Luzerne,Fairmount Township,2nd Township
Luzerne,Fairview Township,2nd Township
Luzerne,Forty Fort Borough,Borough
Luzerne,Foster Township,2nd Township
Luzerne,Franklin Township,2nd Township
Luzerne,Freeland Borough,Borough
Luzerne,Hanover Township,1st Township
Luzerne,Harveys Lake Borough,Borough
Luzerne,Hazle Township,2nd Township
Luzerne,Hazleton City,3rd City
Luzerne,Hollenback Township,2nd Township
Luzerne,Hughestown Borough,Borough
Luzerne,Hunlock Township,2nd Township
Luzerne,Huntington Township,2nd Township
Luzerne,Jackson Township,2nd Township
Luzerne,Jeddo Borough,Borough
Luzerne,Jenkins Township,2nd Township
Luzerne,Kingston Borough,Borough
Luzerne,Kingston Township,2nd Township
Luzerne,Laflin Borough,Borough
Luzerne,Lake Township,2nd Township
Luzerne,Larksville Borough,Borough
Luzerne,Laurel Run Borough,Borough
Luzerne,Lehman Township,2nd Township
Luzerne,Luzerne Borough,Borough
Luzerne,Nanticoke City,3rd City
Luzerne,Nescopeck Borough,Borough
Luzerne,Nescopeck Township,2nd Township
Luzerne,New Columbus Borough,Borough
Luzerne,Newport Township,1st Township
Luzerne,Nuangola Borough,Borough
Luzerne,Penn Lake Park Borough,Borough
Luzerne,Pittston City,3rd City
Luzerne,Pittston Township,2nd Township
Luzerne,Plains Township,1st Township
Luzerne,Plymouth Borough,Borough
Luzerne,Plymouth Township,2nd Township
Luzerne,Pringle Borough,Borough
Luzerne,Rice Township,2nd Township
Luzerne,Ross Township,2nd Township
Luzerne,Salem Township,2nd Township
Luzerne,Shickshinny Borough,Borough
Luzerne,Slocum Township,2nd Township
Luzerne,Sugar Notch Borough,Borough
Luzerne,Sugarloaf Township,2nd Township
Luzerne,Swoyersville Borough,Borough
Luzerne,Union Township,2nd Township
Luzerne,Warrior Run Borough,Borough
Luzerne,West Hazleton Borough,Borough
Luzerne,West Pittston Borough,Borough
Luzerne,West Wyoming Borough,Borough
Luzerne,White Haven Borough,Borough
Luzerne,Wilkes Barre City,3rd City
Luzerne,Wilkes Barre Township,1st Township
Luzerne,Wright Township,2nd Township
Luzerne,Wyoming Borough,Borough
Luzerne,Yatesville Borough,Borough
