COUNTY,MUNICIPALITY,CLASS
Lycoming,Anthony Township,2nd Township
Lycoming,Armstrong Township,2nd Township
Lycoming,Bastress Township,2nd Township
Lycoming,Brady Township,2nd Township
Lycoming,Brown Township,2nd Township
Lycoming,Cascade Township,2nd Township
Lycoming,Clinton Township,2nd Township
Lycoming,Cogan House Township,2nd Township
Lycoming,Cummings Township,2nd Township
Lycoming,Duboistown Borough,Borough
Lycoming,Eldred Township,2nd Township
Lycoming,Fairfield Township,2nd Township
Lycoming,Franklin Township,2nd Township
Lycoming,Gamble Township,2nd Township
Lycoming,Hepburn Township,2nd Township
Lycoming,Hughesville Borough,Borough
Lycoming,Jackson Township,2nd Township
Lycoming,Jersey Shore Borough,Borough
Lycoming,Jordan Township,2nd Township
Lycoming,Lewis Township,2nd Township
Lycoming,Limestone Township,2nd Township
Lycoming,Loyalsock Township,2nd Township
Lycoming,Lycoming Township,2nd Township
Lycoming,Mchenry Township,2nd Township
Lycoming,Mcintyre Township,2nd Township
Lycoming,Mcnett Township,2nd Township
Lycoming,Mifflin Township,2nd Township
Lycoming,Mill Creek Township,2nd Township
Lycoming,Montgomery Borough,Borough
Lycoming,Montoursville Borough,Borough
Lycoming,Moreland Township,2nd Township
Lycoming,Muncy Borough,Borough
Lycoming,Muncy Creek Township,2nd Township
Lycoming,Muncy Township,2nd Township
Lycoming,Nippenose Township,2nd Township
Lycoming,Old Lycoming Township,2nd Township
Lycoming,Penn Township,2nd Township
Lycoming,Piatt Township,2nd Township
Lycoming,Picture Rocks Borough,Borough
Lycoming,Pine Township,2nd Township
Lycoming,Plunketts Creek Township,2nd Township
Lycoming,Porter Township,2nd Township
Lycoming,Salladasburg Borough,Borough
Lycoming,Shrewsbury Township,2nd Township
Lycoming,South Williamsport Borough,Borough
Lycoming,Susquehanna Township,2nd Township
Lycoming,Upper Fairfield Township,2nd Township
Lycoming,Washington Township,2nd Township
Lycoming,Watson Township,2nd Township
Lycoming,Williamsport City,3rd City
Lycoming,Wolf Township,2nd Township
Lycoming,Woodward Township,2nd Township
