COUNTY,MUNICIPALITY,CLASS
Mckean,Annin Township,2nd Township
Mckean,Bradford City,3rd City
Mckean,Bradford Township,2nd Township
Mckean,Ceres Township,2nd Township
Mckean,Corydon Township,2nd Township
Mckean,Eldred Borough,Borough
Mckean,Eldred Township,2nd Township
Mckean,Foster Township,2nd Township
Mckean,Hamilton Township,2nd Township
Mckean,Hamlin Township,2nd Township
Mckean,Kane Borough,Borough
Mckean,Keating Township,2nd Township
Mckean,Lafayette Township,2nd Township
Mckean,Lewis Run Borough,Borough
Mckean,Liberty Township,2nd Township
Mckean,Mt Jewett Borough,Borough
Mckean,Norwich Township,2nd Township
Mckean,Otto Township,2nd Township
Mckean,Port Allegany Borough,Borough
Mckean,Sergeant Township,2nd Township
Mckean,Smethport Borough,Borough
Mckean,Wetmore Township,2nd Township
