COUNTY,MUNICIPALITY,CLASS
Mifflin,Armagh Township,2nd Township
Mifflin,Bratton Township,2nd Township
Mifflin,Brown Township,2nd Township
Mifflin,Burnham Borough,Borough
Mifflin,Decatur Township,2nd Township
Mifflin,Derry Township,2nd Township
Mifflin,Granville Township,2nd Township
Mifflin,Juniata Terrace Borough,Borough
Mifflin,Kistler Borough,Borough
Mifflin,Lewistown Borough,Borough
Mifflin,Mcveytown Borough,Borough
Mifflin,Menno Township,2nd Township
Mifflin,Newton Hamilton Borough,Borough
Mifflin,Oliver Township,2nd Township
Mifflin,Union Township,2nd Township
Mifflin,Wayne Township,2nd Township
