COUNTY,MUNICIPALITY,CLASS
Monroe,Barrett Township,2nd Township
Monroe,Chestnuthill Township,2nd Township
Monroe,Coolbaugh Township,2nd Township
Monroe,Delaware Water Gap Borough,Borough
Monroe,East Stroudsburg Borough,Borough
Monroe,Eldred Township,2nd Township
Monroe,Hamilton Township,2nd Township
Monroe,Jackson Township,2nd Township
Monroe,Middle Smithfield Township,2nd Township
Monroe,Mount Pocono Borough,Borough
Monroe,Paradise Township,2nd Township
Monroe,Pocono Township,1st Township
Monroe,Polk Township,2nd Township
Monroe,Price Township,2nd Township
Monroe,Ross Township,2nd Township
Monroe,Smithfield Township,2nd Township
Monroe,Stroud Township,2nd Township
Monroe,Stroudsburg Borough,Borough
Monroe,Tobyhanna Township,2nd Township
Monroe,Tunkhannock Township,2nd Township
