COUNTY,MUNICIPALITY,CLASS
Northampton,Allen Township,2nd Township
Northampton,Bangor Borough,Borough
Northampton,Bath Borough,Borough
Northampton,Bethlehem City,3rd City
Northampton,Bethlehem Township,1st Township
Northampton,Bushkill Township,2nd Township
Northampton,Chapman Borough,Borough
Northampton,East Allen Township,2nd Township
Northampton,East Bangor Borough,Borough
Northampton,Easton City,3rd City
Northampton,Forks Township,2nd Township
Northampton,Freemansburg Borough,Borough
Northampton,Glendon Borough,Borough
Northampton,Hanover Township,2nd Township
Northampton,Hellertown Borough,Borough
Northampton,Lehigh Township,2nd Township
Northampton,Lower Mt Bethel Township,2nd Township
Northampton,Lower Nazareth Township,2nd Township
Northampton,Lower Saucon Township,2nd Township
Northampton,Moore Township,2nd Township
Northampton,Nazareth Borough,Borough
Northampton,North Catasauqua Borough,Borough
Northampton,Northampton Borough,Borough
Northampton,Palmer Township,2nd Township
Northampton,Pen Argyl Borough,Borough
Northampton,Plainfield Township,2nd Township
Northampton,Portland Borough,Borough
Northampton,Roseto Borough,Borough
Northampton,Stockertown Borough,Borough
Northampton,Tatamy Borough,Borough
Northampton,Upper Mt Bethel Township,2nd Township
Northampton,Upper Nazareth Township,2nd Township
Northampton,Walnutport Borough,Borough
Northampton,Washington Township,2nd Township
Northampton,West Easton Borough,Borough
Northampton,Williams Township,2nd Township
Northampton,Wilson Borough,Borough
Northampton,Wind Gap Borough,Borough
