COUNTY,MUNICIPALITY,CLASS
Northumberland,Coal Township,1st Township
Northumberland,Delaware Township,2nd Township
Northumberland,East Cameron Township,2nd Township
Northumberland,East Chillisquaque Township,2nd Township
Northumberland,Herndon Borough,Borough
Northumberland,Jackson Township,2nd Township
Northumberland,Jordan Township,2nd Township
Northumberland,Kulpmont Borough,Borough
Northumberland,Lewis Township,2nd Township
Northumberland,Little Mahanoy Township,2nd Township
Northumberland,Lower Augusta Township,2nd Township
Northumberland,Lower Mahanoy Township,2nd Township
Northumberland,Marion Heights Borough,Borough
Northumberland,Mcewensville Borough,Borough
Northumberland,Milton Borough,Borough
Northumberland,Mt Carmel Borough,Borough
Northumberland,Mt Carmel Township,2nd Township
Northumberland,Northumberland Borough,Borough
Northumberland,Point Township,2nd Township
Northumberland,Ralpho Township,2nd Township
Northumberland,Riverside Borough,Borough
Northumberland,Rockefeller Township,2nd Township
Northumberland,Rush Township,2nd Township
Northumberland,Shamokin City,3rd City
Northumberland,Shamokin Township,2nd Township
Northumberland,Snydertown Borough,Borough
Northumberland,Sunbury City,3rd City
Northumberland,Turbot Township,2nd Township
Northumberland,Turbotville Borough,Borough
Northumberland,Upper Augusta Township,2nd Township
Northumberland,Upper Mahanoy Township,2nd Township
Northumberland,Washington Township,2nd Township
Northumberland,Watsontown Borough,Borough
Northumberland,West Cameron Township,2nd Township
Northumberland,West Chillisquaque Township,2nd Township
Northumberland,Zerbe Township,2nd Township
