COUNTY,MUNICIPALITY,CLASS
Perry,Blain Borough,Borough
Perry,Bloomfield Borough,Borough
Perry,Buffalo Township,2nd Township
Perry,Carroll Township,2nd Township
Perry,Centre Township,2nd Township
Perry,Duncannon Borough,Borough
Perry,Greenwood Township,2nd Township
Perry,Howe Township,2nd Township
Perry,Jackson Township,2nd Township
Perry,Juniata Township,2nd Township
Perry,Landisburg Borough,Borough
Perry,Liverpool Borough,Borough
Perry,Liverpool Township,2nd Township
Perry,Marysville Borough,Borough
Perry,Miller Township,2nd Township
Perry,Millerstown Borough,Borough
Perry,New Buffalo Borough,Borough
Perry,Newport Borough,Borough
Perry,Northeast Madison Township,2nd Township
Perry,Oliver Township,2nd Township
Perry,Penn Township,2nd Township
Perry,Rye Township,2nd Township
Perry,Saville Township,2nd Township
Perry,Southwest Madison Township,2nd Township
Perry,Spring Township,2nd Township
Perry,Toboyne Township,2nd Township
Perry,Tuscarora Township,2nd Township
Perry,Tyrone Township,2nd Township
Perry,Watts Township,2nd Township
Perry,Wheatfield Township,2nd Township
