COUNTY,MUNICIPALITY,CLASS
Potter,Abbott Township,2nd Township
Potter,Allegany Township,2nd Township
Potter,Austin Borough,Borough
Potter,Bingham Township,2nd Township
Potter,Clara Township,2nd Township
Potter,Coudersport Borough,Borough
Potter,Eulalia Township,2nd Township
Potter,Galeton Borough,Borough
Potter,Genesee Township,2nd Township
Potter,Harrison Township,2nd Township
Potter,Hebron Township,2nd Township
Potter,Hector Township,2nd Township
Potter,Homer Township,2nd Township
Potter,Keating Township,2nd Township
Potter,Oswayo Borough,Borough
Potter,Oswayo Township,2nd Township
Potter,Pike Township,2nd Township
Potter,Pleasant Valley Township,2nd Township
Potter,Portage Township,2nd Township
Potter,Roulette Township,2nd Township
Potter,Sharon Township,2nd Township
Potter,Shinglehouse Borough,Borough
Potter,Stewardson Township,2nd Township
Potter,Summit Township,2nd Township
Potter,Sweden Township,2nd Township
Potter,Sylvania Township,2nd Township
Potter,Ulysses Borough,Borough
Potter,Ulysses Township,2nd Township
Potter,West Branch Township,2nd Township
Potter,Wharton Township,2nd Township
