COUNTY,MUNICIPALITY,CLASS
Schuylkill,Ashland Borough,Borough
Schuylkill,Auburn Borough,Borough
Schuylkill,Barry Township,2nd Township
Schuylkill,Blythe Township,2nd Township
Schuylkill,Branch Township,2nd Township
Schuylkill,Butler Township,2nd Township
Schuylkill,Cass Township,2nd Township
Schuylkill,Coaldale Borough,Borough
Schuylkill,Cressona Borough,Borough
Schuylkill,Deer Lake Borough,Borough
Schuylkill,Delano Township,2nd Township
Schuylkill,East Brunswick Township,2nd Township
Schuylkill,East Norwegian Township,2nd Township
Schuylkill,East Union Township,2nd Township
Schuylkill,Eldred Township,2nd Township
Schuylkill,Foster Township,2nd Township
Schuylkill,Frackville Borough,Borough
Schuylkill,Frailey Township,2nd Township
Schuylkill,Gilberton Borough,Borough
Schuylkill,Girardville Borough,Borough
Schuylkill,Gordon Borough,Borough
Schuylkill,Hegins Township,2nd Township
Schuylkill,Hubley Township,2nd Township
Schuylkill,Kline Township,2nd Township
Schuylkill,Landingville Borough,Borough
Schuylkill,Mahanoy City Borough,Borough
Schuylkill,Mahanoy Township,2nd Township
Schuylkill,Mcadoo Borough,Borough
Schuylkill,Mechanicsville Borough,Borough
Schuylkill,Middleport Borough,Borough
Schuylkill,Minersville Borough,Borough
Schuylkill,Mt Carbon Borough,Borough
Schuylkill,New Castle Township,2nd Township
Schuylkill,New Philadelphia Borough,Borough
Schuylkill,New Ringgold Borough,Borough
Schuylkill,North Manheim Township,2nd Township
Schuylkill,North Union Township,2nd Township
Schuylkill,Norwegian Township,2nd Township
Schuylkill,Orwigsburg Borough,Borough
Schuylkill,Palo Alto Borough,Borough
Schuylkill,Pine Grove Borough,Borough
Schuylkill,Pine Grove Township,2nd Township
Schuylkill,Port Carbon Borough,Borough
Schuylkill,Port Clinton Borough,Borough
Schuylkill,Porter Township,2nd Township
Schuylkill,Pottsville City,3rd City
Schuylkill,Reilly Township,2nd Township
Schuylkill,Ringtown Borough,Borough
Schuylkill,Rush Township,2nd Township
Schuylkill,Ryan Township,2nd Township
Schuylkill,Schuylkill Haven Borough,Borough
Schuylkill,Schuylkill Township,2nd Township
Schuylkill,Shenandoah Borough,Borough
Schuylkill,South Manheim Township,2nd Township
Schuylkill,St Clair Borough,Borough
Schuylkill,Tamaqua Borough,Borough
Schuylkill,Tower City Borough,Borough
Schuylkill,Tremont Borough,Borough
Schuylkill,Tremont Township,2nd Township
Schuylkill,Union Township,2nd Township
Schuylkill,Upper Mahantango Township,2nd Township
Schuylkill,Walker Township,2nd Township
Schuylkill,Washington Township,2nd Township
Schuylkill,Wayne Township,2nd Township
Schuylkill,West Brunswick Township,2nd Township
Schuylkill,West Mahanoy Township,2nd Township
Schuylkill,West Penn Township,2nd Township
