COUNTY,MUNICIPALITY,CLASS
Snyder,Adams Township,2nd Township
Snyder,Beaver Township,2nd Township
Snyder,Beavertown Borough,Borough
Snyder,Center Township,2nd Township
Snyder,Chapman Township,2nd Township
Snyder,Franklin Township,2nd Township
Snyder,Freeburg Borough,Borough
Snyder,Jackson Township,2nd Township
Snyder,Mcclure Borough,Borough
Snyder,Middleburg Borough,Borough
Snyder,Middlecreek Township,2nd Township
Snyder,Monroe Township,2nd Township
Snyder,Penn Township,2nd Township
Snyder,Perry Township,2nd Township
Snyder,Selinsgrove Borough,Borough
Snyder,Shamokin Dam Borough,Borough
Snyder,Spring Township,2nd Township
Snyder,Union Township,2nd Township
Snyder,Washington Township,2nd Township
Snyder,West Beaver Township,2nd Township
Snyder,West Perry Township,2nd Township
