COUNTY,MUNICIPALITY,CLASS
Somerset,Addison Borough,Borough
Somerset,Addison Township,2nd Township
Somerset,Allegheny Township,2nd Township
Somerset,Benson Borough,Borough
Somerset,Berlin Borough,Borough
Somerset,Black Township,2nd Township
Somerset,Boswell Borough,Borough
Somerset,Brothersvalley Township,2nd Township
Somerset,Callimont Borough,Borough
Somerset,Casselman Borough,Borough
Somerset,Central City Borough,Borough
Somerset,Conemaugh Township,2nd Township
Somerset,Confluence Borough,Borough
Somerset,Elk Lick Township,2nd Township
Somerset,Fairhope Township,2nd Township
Somerset,Garrett Borough,Borough
Somerset,Greenville Township,2nd Township
Somerset,Hooversville Borough,Borough
Somerset,Indian Lake Borough,Borough
Somerset,Jefferson Township,2nd Township
Somerset,Jenner Township,2nd Township
Somerset,Jennerstown Borough,Borough
Somerset,Larimer Township,2nd Township
Somerset,Lincoln Township,2nd Township
Somerset,Lower Turkeyfoot Township,2nd Township
Somerset,Meyersdale Borough,Borough
Somerset,Middlecreek Township,2nd Township
Somerset,Milford Township,2nd Township
Somerset,New Baltimore Borough,Borough
Somerset,New Centerville Borough,Borough
Somerset,Northampton Township,2nd Township
Somerset,Ogle Township,2nd Township
Somerset,Paint Borough,Borough
Somerset,Paint Township,2nd Township
Somerset,Quemahoning Township,2nd Township
Somerset,Rockwood Borough,Borough
Somerset,Salisbury Borough,Borough
Somerset,Seven Springs Borough,Borough
Somerset,Shade Township,2nd Township
Somerset,Shanksville Borough,Borough
Somerset,Somerset Borough,Borough
Somerset,Somerset Township,2nd Township
Somerset,Southampton Township,2nd Township
Somerset,Stonycreek Township,2nd Township
Somerset,Stoystown Borough,Borough
Somerset,Summit Township,2nd Township
Somerset,Upper Turkeyfoot Township,2nd Township
Somerset,Ursina Borough,Borough
Somerset,Wellersburg Borough,Borough
Somerset,Windber Borough,Borough
