COUNTY,MUNICIPALITY,CLASS
Sullivan,Cherry Township,2nd Township
Sullivan,Colley Township,2nd Township
Sullivan,Davidson Township,2nd Township
Sullivan,Dushore Borough,Borough
Sullivan,Eagles Mere Borough,Borough
Sullivan,Elkland Township,2nd Township
Sullivan,Forks Township,2nd Township
Sullivan,Forksville Borough,Borough
Sullivan,Fox Township,2nd Township
Sullivan,Hillsgrove Township,2nd Township
Sullivan,Laporte Borough,Borough
Sullivan,Laporte Township,2nd Township
Sullivan,Shrewsbury Township,2nd Township
