COUNTY,MUNICIPALITY,CLASS
Susquehanna,Apolacon Township,2nd Township
Susquehanna,Ararat Township,2nd Township
Susquehanna,Auburn Township,2nd Township
Susquehanna,Bridgewater Township,2nd Township
Susquehanna,Brooklyn Township,2nd Township
Susquehanna,Choconut Township,2nd Township
Susquehanna,Clifford Township,2nd Township
Susquehanna,Dimock Township,2nd Township
Susquehanna,Forest City Borough,Borough
Susquehanna,Forest Lake Township,2nd Township
Susquehanna,Franklin Township,2nd Township
Susquehanna,Friendsville Borough,Borough
Susquehanna,Gibson Township,2nd Township
Susquehanna,Great Bend Borough,Borough
Susquehanna,Great Bend Township,2nd Township
Susquehanna,Hallstead Borough,Borough
Susquehanna,Harford Township,2nd Township
Susquehanna,Harmony Township,2nd Township
Susquehanna,Herrick Township,2nd Township
Susquehanna,Hop Bottom Borough,Borough
Susquehanna,Jackson Township,2nd Township
Susquehanna,Jessup Township,2nd Township
Susquehanna,Lanesboro Borough,Borough
Susquehanna,Lathrop Township,2nd Township
Susquehanna,Lenox Township,2nd Township
Susquehanna,Liberty Township,2nd Township
Susquehanna,Little Meadows Borough,Borough
Susquehanna,Middletown Township,2nd Township
Susquehanna,Montrose Borough,Borough
Susquehanna,New Milford Borough,Borough
Susquehanna,New Milford Township,2nd Township
Susquehanna,Oakland Borough,Borough
Susquehanna,Oakland Township,2nd Township
Susquehanna,Rush Township,2nd Township
Susquehanna,Silver Lake Township,2nd Township
Susquehanna,Springville Township,2nd Township
Susquehanna,Susquehanna Depot Borough,Borough
Susquehanna,Thompson Borough,Borough
Susquehanna,Thompson Township,2nd Township
Susquehanna,Uniondale Borough,Borough
