COUNTY,MUNICIPALITY,CLASS
Tioga,Bloss Township,2nd Township
Tioga,Blossburg Borough,Borough
Tioga,Brookfield Township,2nd Township
Tioga,Charleston Township,2nd Township
Tioga,Chatham Township,2nd Township
Tioga,Clymer Township,2nd Township
Tioga,Covington Township,2nd Township
Tioga,Deerfield Township,2nd Township
Tioga,Delmar Township,2nd Township
Tioga,Duncan Township,2nd Township
Tioga,Elk Township,2nd Township
Tioga,Elkland Borough,Borough
Tioga,Farmington Township,2nd Township
Tioga,Gaines Township,2nd Township
Tioga,Hamilton Township,2nd Township
Tioga,Jackson Township,2nd Township
Tioga,Knoxville Borough,Borough
Tioga,Lawrence Township,2nd Township
Tioga,Lawrenceville Borough,Borough
Tioga,Liberty Borough,Borough
Tioga,Liberty Township,2nd Township
Tioga,Mansfield Borough,Borough
Tioga,Middlebury Township,2nd Township
Tioga,Morris Township,2nd Township
Tioga,Nelson Township,2nd Township
Tioga,Osceola Township,2nd Township
Tioga,Putnam Township,2nd Township
Tioga,Richmond Township,2nd Township
Tioga,Roseville Borough,Borough
Tioga,Rutland Township,2nd Township
Tioga,Shippen Township,2nd Township
Tioga,Sullivan Township,2nd Township
Tioga,Tioga Borough,Borough
Tioga,Tioga Township,2nd Township
Tioga,Union Township,2nd Township
Tioga,Ward Township,2nd Township
Tioga,Wellsboro Borough,Borough
Tioga,Westfield Borough,Borough
Tioga,Westfield Township,2nd Township
