COUNTY,MUNICIPALITY,CLASS
Union,Buffalo Township,2nd Township
Union,East Buffalo Township,2nd Township
Union,Gregg Township,2nd Township
Union,Hartleton Borough,Borough
Union,Hartley Township,2nd Township
Union,Kelly Township,2nd Township
Union,Lewis Township,2nd Township
Union,Lewisburg Borough,Borough
Union,Limestone Township,2nd Township
Union,Mifflinburg Borough,Borough
Union,New Berlin Borough,Borough
Union,Union Township,2nd Township
Union,West Buffalo Township,2nd Township
Union,White Deer Township,2nd Township
