COUNTY,MUNICIPALITY,CLASS
Venango,Allegheny Township,2nd Township
Venango,Barkeyville Borough,Borough
Venango,Canal Township,2nd Township
Venango,Cherrytree Township,2nd Township
Venango,Clinton Township,2nd Township
Venango,Clintonville Borough,Borough
Venango,Cooperstown Borough,Borough
Venango,Cornplanter Township,2nd Township
Venango,Cranberry Township,2nd Township
Venango,Emlenton Borough,Borough
Venango,Franklin City,3rd City
Venango,Frenchcreek Township,2nd Township
Venango,Irwin Township,2nd Township
Venango,Jackson Township,2nd Township
Venango,Mineral Township,2nd Township
Venango,Oakland Township,2nd Township
Venango,Oil City,3rd City
Venango,Oilcreek Township,2nd Township
Venango,Pinegrove Township,2nd Township
Venango,Pleasantville Borough,Borough
Venango,Plum Township,2nd Township
Venango,Polk Borough,Borough
Venango,President Township,2nd Township
Venango,Richland Township,2nd Township
Venango,Rockland Township,2nd Township
Venango,Rouseville Borough,Borough
Venango,Sandycreek Township,2nd Township
Venango,Scrubgrass Township,2nd Township
Venango,Sugarcreek Borough,Borough
Venango,Utica Borough,Borough
Venango,Victory Township,2nd Township
