COUNTY,MUNICIPALITY,CLASS
Warren,Bear Lake Borough,Borough
Warren,Brokenstraw Township,2nd Township
Warren,Cherry Grove Township,2nd Township
Warren,Clarendon Borough,Borough
Warren,Columbus Township,2nd Township
Warren,Conewango Township,2nd Township
Warren,Deerfield Township,2nd Township
Warren,Eldred Township,2nd Township
Warren,Elk Township,2nd Township
Warren,Farmington Township,2nd Township
Warren,Freehold Township,2nd Township
Warren,Glade Township,2nd Township
Warren,Limestone Township,2nd Township
Warren,Mead Township,2nd Township
Warren,Pine Grove Township,2nd Township
Warren,Pittsfield Township,2nd Township
Warren,Pleasant Township,2nd Township
Warren,Sheffield Township,2nd Township
Warren,Southwest Township,2nd Township
Warren,Spring Creek Township,2nd Township
Warren,Sugar Grove Borough,Borough
Warren,Sugar Grove Township,2nd Township
Warren,Tidioute Borough,Borough
Warren,Triumph Township,2nd Township
Warren,Warren City,3rd City
Warren,Watson Township,2nd Township
Warren,Youngsville Borough,Borough
