COUNTY,MUNICIPALITY,CLASS
Washington,Allenport Borough,Borough
Washington,Amwell Township,2nd Township
Washington,Beallsville Borough,Borough
Washington,Bentleyville Borough,Borough
Washington,Blaine Township,2nd Township
Washington,Buffalo Township,2nd Township
Washington,Burgettstown Borough,Borough
Washington,California Borough,Borough
Washington,Canonsburg Borough,Borough
Washington,Canton Township,2nd Township
Washington,Carroll Township,2nd Township
Washington,Cecil Township,2nd Township
Washington,Centerville Borough,Borough
Washington,Charleroi Borough,Borough
Washington,Chartiers Township,2nd Township
Washington,Claysville Borough,Borough
Washington,Coal Center Borough,Borough
Washington,Cokeburg Borough,Borough
Washington,Cross Creek Township,2nd Township
Washington,Deemston Borough,Borough
Washington,Donegal Township,2nd Township
Washington,Donora Borough,Borough
Washington,Dunlevy Borough,Borough
Washington,East Bethlehem Township,1st Township
Washington,East Finley Township,2nd Township
Washington,East Washington Borough,Borough
Washington,Elco Borough,Borough
Washington,Ellsworth Borough,Borough
Washington,Fallowfield Township,2nd Township
Washington,Finleyville Borough,Borough
Washington,Green Hills Borough,Borough
Washington,Hanover Township,2nd Township
Washington,Hopewell Township,2nd Township
Washington,Houston Borough,Borough
Washington,Independence Township,2nd Township
Washington,Jefferson Township,2nd Township
Washington,Long Branch Borough,Borough
Washington,Marianna Borough,Borough
Washington,Mcdonald Borough,Borough
Washington,Midway Borough,Borough
Washington,Monongahela City,3rd City
Washington,Morris Township,2nd Township
Washington,Mt Pleasant Township,2nd Township
Washington,New Eagle Borough,Borough
Washington,North Bethlehem Township,2nd Township
Washington,North Charleroi Borough,Borough
Washington,North Franklin Township,2nd Township
Washington,North Strabane Township,2nd Township
Washington,Nottingham Township,2nd Township
Washington,Peters Township,2nd Township
Washington,Robinson Township,2nd Township
Washington,Roscoe Borough,Borough
Washington,Smith Township,2nd Township
Washington,Somerset Township,2nd Township
Washington,South Franklin Township,2nd Township
Washington,South Strabane Township,2nd Township
Washington,Speers Borough,Borough
Washington,Stockdale Borough,Borough
Washington,Twilight Borough,Borough
Washington,Union Township,2nd Township
Washington,Washington City,3rd City
Washington,West Bethlehem Township,2nd Township
Washington,West Brownsville Borough,Borough
Washington,West Finley Township,2nd Township
Washington,West Middletown Borough,Borough
Washington,West Pike Run Township,2nd Township
