COUNTY,MUNICIPALITY,CLASS
Wayne,Berlin Township,2nd Township
Wayne,Bethany Borough,Borough
Wayne,Buckingham Township,2nd Township
Wayne,Canaan Township,2nd Township
Wayne,Cherry Ridge Township,2nd Township
Wayne,Clinton Township,2nd Township
Wayne,Damascus Township,2nd Township
Wayne,Dreher Township,2nd Township
Wayne,Dyberry Township,2nd Township
Wayne,Hawley Borough,Borough
Wayne,Honesdale Borough,Borough
Wayne,Lake Township,2nd Township
Wayne,Lebanon Township,2nd Township
Wayne,Lehigh Township,2nd Township
Wayne,Manchester Township,2nd Township
Wayne,Mt Pleasant Township,2nd Township
Wayne,Oregon Township,2nd Township
Wayne,Palmyra Township,2nd Township
Wayne,Paupack Township,2nd Township
Wayne,Preston Township,2nd Township
Wayne,Prompton Borough,Borough
Wayne,Salem Township,2nd Township
Wayne,Scott Township,2nd Township
Wayne,South Canaan Township,2nd Township
Wayne,Starrucca Borough,Borough
Wayne,Sterling Township,2nd Township
Wayne,Texas Township,2nd Township
Wayne,Waymart Borough,Borough
