COUNTY,MUNICIPALITY,CLASS
Westmoreland,Adamsburg Borough,Borough
Westmoreland,Allegheny Township,2nd Township
Westmoreland,Arnold City,3rd City
Westmoreland,Arona Borough,Borough
Westmoreland,Avonmore Borough,Borough
Westmoreland,Bell Township,2nd Township
Westmoreland,Bolivar Borough,Borough
Westmoreland,Cook Township,2nd Township
Westmoreland,Delmont Borough,Borough
Westmoreland,Derry Borough,Borough
Westmoreland,Derry Township,2nd Township
Westmoreland,Donegal Borough,Borough
Westmoreland,Donegal Township,2nd Township
Westmoreland,East Huntingdon Township,2nd Township
Westmoreland,East Vandergrift Borough,Borough
Westmoreland,Export Borough,Borough
Westmoreland,Fairfield Township,2nd Township
Westmoreland,Greensburg City,3rd City
Westmoreland,Hempfield Township,2nd Township
Westmoreland,Hunker Borough,Borough
Westmoreland,Hyde Park Borough,Borough
Westmoreland,Irwin Borough,Borough
Westmoreland,Jeannette City,3rd City
Westmoreland,Latrobe Borough,Borough
Westmoreland,Laurel Mountain Borough,Borough
Westmoreland,Ligonier Borough,Borough
Westmoreland,Ligonier Township,2nd Township
Westmoreland,Lower Burrell City,3rd City
Westmoreland,Loyalhanna Township,2nd Township
Westmoreland,Madison Borough,Borough
Westmoreland,Manor Borough,Borough
Westmoreland,Monessen City,3rd City
Westmoreland,Mt Pleasant Borough,Borough
Westmoreland,Mt Pleasant Township,2nd Township
Westmoreland,Murrysville Borough,Borough
Westmoreland,New Alexandria Borough,Borough
Westmoreland,New Florence Borough,Borough
Westmoreland,New Kensington City,3rd City
Westmoreland,New Stanton Borough,Borough
Westmoreland,North Belle Vernon Borough,Borough
Westmoreland,North Huntingdon Township,1st Township
Westmoreland,North Irwin Borough,Borough
Westmoreland,Oklahoma Borough,Borough
Westmoreland,Penn Borough,Borough
Westmoreland,Penn Township,1st Township
Westmoreland,Rostraver Township,1st Township
Westmoreland,Salem Township,2nd Township
Westmoreland,Scottdale Borough,Borough
Westmoreland,Seward Borough,Borough
Westmoreland,Sewickley Township,2nd Township
Westmoreland,Smithton Borough,Borough
Westmoreland,South Greensburg Borough,Borough
Westmoreland,South Huntingdon Township,2nd Township
Westmoreland,Southwest Greensburg Borough,Borough
Westmoreland,St. Clair Township,2nd Township
Westmoreland,Sutersville Borough,Borough
Westmoreland,Trafford Borough,Borough
Westmoreland,Unity Township,2nd Township
Westmoreland,Upper Burrell Township,2nd Township
Westmoreland,Vandergrift Borough,Borough
Westmoreland,Washington Township,2nd Township
Westmoreland,West Leechburg Borough,Borough
Westmoreland,West Newton Borough,Borough
Westmoreland,Youngstown Borough,Borough
Westmoreland,Youngwood Borough,Borough
