COUNTY,MUNICIPALITY,CLASS
Wyoming,Braintrim Township,2nd Township
Wyoming,Clinton Township,2nd Township
Wyoming,Eaton Township,2nd Township
Wyoming,Exeter Township,2nd Township
Wyoming,Factoryville Borough,Borough
Wyoming,Falls Township,2nd Township
Wyoming,Forkston Township,2nd Township
Wyoming,Laceyville Borough,Borough
Wyoming,Lemon Township,2nd Township
Wyoming,Mehoopany Township,2nd Township
Wyoming,Meshoppen Borough,Borough
Wyoming,Meshoppen Township,2nd Township
Wyoming,Monroe Township,2nd Township
Wyoming,Nicholson Borough,Borough
Wyoming,Nicholson Township,2nd Township
Wyoming,North Branch Township,2nd Township
Wyoming,Northmoreland Township,2nd Township
Wyoming,Noxen Township,2nd Township
Wyoming,Overfield Township,2nd Township
Wyoming,Tunkhannock Borough,Borough
Wyoming,Tunkhannock Township,2nd Township
Wyoming,Washington Township,2nd Township
Wyoming,Windham Township,2nd Township
