COUNTY,MUNICIPALITY,CLASS
York,Carroll Township,2nd Township
York,Chanceford Township,2nd Township
York,Codorus Township,2nd Township
York,Conewago Township,2nd Township
York,Cross Roads Borough,Borough
York,Dallastown Borough,Borough
York,Delta Borough,Borough
York,Dillsburg Borough,Borough
York,Dover Borough,Borough
York,Dover Township,2nd Township
York,East Hopewell Township,2nd Township
York,East Manchester Township,2nd Township
York,East Prospect Borough,Borough
York,Fairview Township,2nd Township
York,Fawn Grove Borough,Borough
York,Fawn Township,2nd Township
York,Felton Borough,Borough
York,Franklin Township,2nd Township
York,Franklintown Borough,Borough
York,Glen Rock Borough,Borough
York,Goldsboro Borough,Borough
York,Hallam Borough,Borough
York,Hanover Borough,Borough
York,Heidelberg Township,2nd Township
York,Hellam Township,2nd Township
York,Hopewell Township,2nd Township
York,Jackson Township,2nd Township
York,Jacobus Borough,Borough
York,Jefferson Borough,Borough
York,Lewisberry Borough,Borough
York,Loganville Borough,Borough
York,Lower Chanceford Township,2nd Township
York,Lower Windsor Township,2nd Township
York,Manchester Borough,Borough
York,Manchester Township,2nd Township
York,Manheim Township,2nd Township
York,Monaghan Township,2nd Township
York,Mt Wolf Borough,Borough
York,New Freedom Borough,Borough
York,New Salem Borough,Borough
York,Newberry Township,2nd Township
York,North Codorus Township,2nd Township
York,North Hopewell Township,2nd Township
York,North York Borough,Borough
York,Paradise Township,2nd Township
York,Peach Bottom Township,2nd Township
York,Penn Township,1st Township
York,Railroad Borough,Borough
York,Red Lion Borough,Borough
York,Seven Valleys Borough,Borough
York,Shrewsbury Borough,Borough
York,Shrewsbury Township,2nd Township
York,Spring Garden Township,1st Township
York,Spring Grove Borough,Borough
York,Springettsbury Township,2nd Township
York,Springfield Township,2nd Township
York,Stewartstown Borough,Borough
York,Warrington Township,2nd Township
York,Washington Township,2nd Township
York,Wellsville Borough,Borough
York,West Manchester Township,2nd Township
York,West Manheim Township,2nd Township
York,West York Borough,Borough
York,Windsor Borough,Borough
York,Windsor Township,2nd Township
York,Winterstown Borough,Borough
York,Wrightsville Borough,Borough
York,Yoe Borough,Borough
York,York City,3rd City
York,York Haven Borough,Borough
York,York Township,1st Township
York,Yorkana Borough,Borough
